part_number,item_name,uom,price
T-80686-00,Spidol OHP Ukuran Fine; Biru; Snowman; pcPieces 11000,,362
T-80687-00,Spidol OHP Ukuran Fine; Merah; Snowman; pcPieces 11000,,363
T-80688-00,Pena Pilot Frixion Ball.; ; ;,Pieces,364
T-80689-00,"Ribbon Cartridge, purple.; SEAMLESS RIBBON ERC- 09 PURPLE; -; 1 pcsPieces 30000",,365
T-80702-00,"Cellotape / Lakban Kertas 2 inchRoll 13000 DXM DOMESTIC Blanket Purchase Agreement BPA-BS- 01-2025-JKT, 1 Proprietary and Confidential Line Part Number / Description Effective Date Expires On Quantity UOM",Unit,366
T-80706-00,Label Stiker Tom dan Jerry No. 116 warna Hijau; ; ;,Pack,367
T-80707-00,Label Stiker Tom dan Jerry No. 116 warna Kuning; ; ;,Pack,368
T-80719-00,"Baterai Eveready Size C R14P 1,5V; ; ;",Pieces,369
T-80730-00,Clip board F4 Bantex 4205-01 Blue; ; ;,Pieces,370
T-80732-00,"Vinyl Tape/Masking tape/Lakban lantai; 3M; Type 471 Yellow, Tebal 0,14 mm; Ukuran 2 inch x 36 yd; pack size per rollRoll 85000",,371
T-80733-00,Spidol ARTLINE 70 - Biru; ARTLINE; ;,Pieces,372
T-80734-00,Spidol ARTLINE 70 - Merah; ARTLINE; ;,Pieces,373
T-80735-00,Spidol V Board Master Pilot Hitam; Pilot; ;,Pieces,374
T-80736-00,Spidol V Board Master Pilot Biru; Pilot; ;,Pieces,375
T-80737-00,Spidol V Board Master Pilot Merah; Pilot; ;,Pieces,376
T-80738-00,Spidol ARTLINE 70 - Orange; ARTLINE; ;,Pieces,377
T-80739-00,Spidol ARTLINE 70 - Pink; ARTLINE; ;,Pieces,378
T-80740-00,Spidol ARTLINE 70 - Ungu; ARTLINE; ;,Pieces,379
T-80741-00,Spidol ARTLINE 70 - Biru Muda; ARTLINE; ;,Pieces,380
T-80742-00,Spidol ARTLINE 70 - Coklat; ARTLINE; ;,Pieces,381
T-80743-00,Spidol ARTLINE 70 - Hijau; ARTLINE; ;,Pieces,382
T-80744-00,Spidol ARTLINE 70 - Kuning; ARTLINE; ;,Pieces,383
T-80749-00,,Roll,384
T-80759-00,Post-It Kecil Joyco warna warni; ; ;,Pieces,385
T-80760-00,Buku Nota Kecil (A6) 1 ply; pcPieces 3000,,386
T-80761-00,Cellotape / Lakban Bening 1 inch X 72 YDSRoll 10000,,387
T-80763-00,Label Stiker Tom & Jerry No. 108 warna Orange; Tom & Jerry; ; 1,Pack,388
T-80764-00,Label Stiker Tom & Jerry No. 108 warna Kuning; Tom & Jerry; ; 1,Pack,389
